Nombre,Tension maxima [MPa],Modulo flexion [MPa],Ancho [mm],Espesor [mm],Espesor_2 [mm]
TFP1-1,146.66,13328.66427,25.5,5.3,4.9
TFP1-1,145.19,13758.34572,25.6,5.3,4.9
TFP1-1,113.14,12516.14131,25.7,5.2,5
TFP2-1,134.87,10753.24985,25.6,4.7,4.4
TFP2-1,113.21,9578.680976,25.5,4.7,4.6
TFP2-1,104.21,9276.571173,25.6,4.7,4.5
TFP3-1,132.54,8650.652067,25.2,4.8,5.1
TFP3-1,122.15,9541.590137,25.5,4.9,4.7
TFP3-1,129.47,9473.768086,25.5,4.8,4.9
TFP4-1,145.76,11061.11767,25.8,4.7,4.5
TFP4-1,146.33,9860.48321,25.5,4.7,4.5
TFP4-1,133.02,9623.844979,25.7,4.7,4.5
TFP5-1,107.8,6069.124086,25.3,5.7,5.8
TFP5-1,111.14,6328.492336,25.2,5.7,5.8
TFP5-1,103.36,6031.699748,25,5.7,5.6
TFP6-1,127.35,7960.317874,24.3,5.6,5.5
TFP6-1,104.37,8020.138068,25.4,5.6,5.5
TFP6-1,111.2,7413.723715,25.4,5.6,5.6
